"","year","month","summit","PE","temp","precip","D","spei_3","spei_12","date","region"
"12947","2022","01","HUU",-149.019733071327,9.63759695893975,159.15729855309,10.137565481763,0.466806668506671,-0.852072654858751,2022-01-01,"SAC"
"12948","2022","01","JIA",-149.019733071327,9.63759695893975,159.15729855309,10.137565481763,0.466806668506671,-0.852072654858751,2022-01-01,"SAC"
"12949","2022","01","JNJ",-179.906733334064,7.70444686233361,115.068145144086,-64.8385881899785,0.545100235101452,-1.26331714134845,2022-01-01,"SYU"
"12950","2022","01","LIN",-168.346472084522,9.12341317617768,186.145238626104,17.7987665415813,0.843272002276502,-0.911070772078018,2022-01-01,"NAH"
"12951","2022","01","MIN",-149.019733071327,9.63759695893975,159.15729855309,10.137565481763,0.466806668506671,-0.852072654858751,2022-01-01,"SAC"
"12952","2022","01","QNS",-151.031278073788,8.78515502765617,178.940452683072,27.9091746092845,0.187347687477971,-1.16735429073457,2022-01-01,"HQM"
"12953","2022","01","QSS",-151.031278073788,8.78515502765617,178.940452683072,27.9091746092845,0.187347687477971,-1.16735429073457,2022-01-01,"HQM"
"12954","2022","01","SEN",-173.94395172596,7.85548590383223,131.695337641339,-42.2486140846203,0.264646154615015,-0.829864262923473,2022-01-01,"DAS"
"12955","2022","01","SMN",-168.346472084522,9.12341317617768,186.145238626104,17.7987665415813,0.843272002276502,-0.911070772078018,2022-01-01,"HQM"
"12956","2022","01","SMZ",-118.033111095428,8.46482152631211,144.620731520753,26.5876204253246,0.102463168345013,-0.651381718215795,2022-01-01,"NAH"
"12957","2022","01","SUN",-135.777786374092,7.54327467231343,170.503057587247,34.7252712131549,0.42969940210274,-0.609209875066276,2022-01-01,"DAS"
"12958","2022","01","TSW",-145.206995308399,6.81303168676237,103.784948635202,-41.4220466731976,0.445246357405276,-1.31557768391852,2022-01-01,"SYU"
"12959","2022","01","YAT",-135.777786374092,7.54327467231343,170.503057587247,34.7252712131549,0.42969940210274,-0.609209875066276,2022-01-01,"DAS"
"12960","2022","01","ZNF",-118.033111095428,8.46482152631211,144.620731520753,26.5876204253246,0.102463168345013,-0.651381718215795,2022-01-01,"NAH"
"12961","2022","02","DSH",-137.123286724091,8.59312373570037,192.593461335679,55.4701746115889,0.871842353176469,-1.06006407890431,2022-02-01,"SYU"
"12962","2022","02","HUU",-139.873169362545,9.92048434302922,193.829453052064,53.9562836895193,0.615695004514087,-0.645265293689297,2022-02-01,"SAC"
"12963","2022","02","JIA",-139.873169362545,9.92048434302922,193.829453052064,53.9562836895193,0.615695004514087,-0.645265293689297,2022-02-01,"SAC"
"12964","2022","02","JNJ",-154.385320842266,7.85994618733724,230.28286403515,75.8975431928839,0.92380211266073,-0.877437745307487,2022-02-01,"SYU"
